instruction,input,output
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,如何获得屈膝礼动作？,获得屈膝礼动作的步骤如下：\n1. 首先找到调灵师罗德莉卡，她在圆桌厅堂的偏厅中。\n2. 将任意一个骨灰强化至+7。要完成强化，你需要先解锁铁匠修古的强化功能，并收集足够的锻造石。\n3. 携带+7骨灰，与罗德莉卡对话。\n4. 她会认可你的强大，并授予你动作“屈膝礼”。\n5. 注意：该动作与骨灰的具体类型无关，任意骨灰+7均可触发。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,罗德莉卡支线怎么推进？和水母姐妹前置有关吗？,罗德莉卡的支线分为多个阶段，以下是完整推进指南：\n1. 初始触发：在圆桌厅堂与罗德莉卡对话，她表示自己害怕骨灰。\n2. 调灵能力解锁：将任意一个骨灰强化至+4或以上，与罗德莉卡交谈，她会表示看到你能强化骨灰，请求学习调灵术。\n3. 调灵师功能开启：再次对话后，她会成为调灵师，允许你升级骨灰。\n4. 屈膝礼动作：任意骨灰+7后与她对话，获得“屈膝礼”动作。\n5. 铁匠支线后续：当铁匠修古的支线推进到一定阶段（例如击败某些BOSS后），与罗德莉卡对话，她会表达对铁匠的关心。继续推进铁匠支线（如获得赛尔维斯的药水等），罗德莉卡的相关对话会更新，最终罗德莉卡会给予你一个“水母骨灰”或者相关剧情道具，这是“水母姐妹前置”的关键。\n6. 注意：水母姐妹前置需要罗德莉卡支线完整完成，具体步骤包括：完成上述所有对话，并且确保铁匠修古的支线也推进到可以购买泡状砥石刀或类似阶段，之后罗德莉卡会提及水母，并引导你前往特定地点。\n若你卡在某个环节，请检查骨灰强化等级和铁匠支线进度。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,请问如何完成菈尼的支线任务并达成群星结局？,完成菈尼支线并达成群星结局需要按顺序执行以下关键步骤：\n1. 从海德要塞西方赐福出发，进入被星星砸开的地下通道，前往永恒之城，击败敌人获取“猎杀指头刀”。\n2. 返回菈尼魔法塔，与菈尼对话，获得“卡利亚颠倒像”。\n3. 刷新地图后前往蕾娜魔法塔，在塔内拾取“雪魔女套装”，并使用塔顶传送门到达地底世界。在前方棺材处拾取“娇小菈尼”，在赐福处与菈尼对话。\n4. 继续探索至永恒之城、史黛拉水塘赐福，每次坐赐福时与菈尼对话。击败“灾厄影子”后获得“被丢弃的王室钥匙”。\n5. 前进至腐败湖，穿过腐败湖到达遗迹，乘坐石棺到达“黑暗弃子”的Boss房间，击败它获得“黑暗弃子的战斗回忆”。\n6. 前往魔法学院满月女王赐福，打开女王身后的宝箱，获得“暗月戒指”。\n7. 返回黑暗弃子赐福，此时封印消失，继续前进至月光祭坛，击败“辉石龙亚度拉”，获得“龙心”和“亚度拉的月光剑”。\n8. 在周围拾取星辰碎片，从马努斯教堂坑往下跳找到菈尼，为她戴上戒指。剧情后菈尼消失，拾取“暗月大剑”。\n9. 最后回到菈尼魔法塔，点燃房间内新出现的赐福，在赐福处与菈尼对话。\n完成以上所有步骤后，菈尼线即告完结，并在最终Boss战后可选择触发群星结局。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,菈尼线中如何获取猎杀指头刀？,获取猎杀指头刀的具体步骤如下：\n1. 传送到“海德要塞西方”赐福。\n2. 从该赐福向西走，找到被星星砸开的地下通道入口。\n3. 进入地下通道，一路前行到达“永恒之城”区域。\n4. 在永恒之城进行探索，注意沿途敌人较多，建议做好战斗准备。\n5. 在永恒之城的一个宝箱或特定地点（通常在仿生泪滴骨灰附近）可以找到“猎杀指头刀”。\n6. 注意：在前往永恒之城的路上还可以拾取到T0级骨灰“仿生泪滴”，提升战斗力。\n7. 拿到猎杀指头刀后即可返回菈尼魔法塔交付任务。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,菈尼线如何获得暗月大剑？,获得暗月大剑需要完成菈尼线的最后阶段，具体步骤如下：\n1. 确保你已经完成了前面所有步骤：获取猎杀指头刀、卡利亚颠倒像、雪魔女套装、娇小菈尼、被丢弃的王室钥匙，并击败了灾厄影子和黑暗弃子。\n2. 前往魔法学院“满月女王”赐福，打开女王身后的宝箱，获得“暗月戒指”。\n3. 返回“黑暗弃子”赐福，此时通往月光祭坛的封印已经消失。\n4. 沿着路线继续前进，到达月光祭坛区域。\n5. 在月光祭坛击败“辉石龙亚度拉”，它会掉落“龙心”和“亚度拉的月光剑”。\n6. 击败龙后，在周围搜索，可以拾取到大量“星辰碎片”。\n7. 找到“马努斯教堂”，从教堂内的坑洞往下跳。\n8. 在坑洞底部找到菈尼，与她互动并为她戴上“暗月戒指”。\n9. 触发剧情，菈尼消失后，原地拾取她留下的“暗月大剑”。\n10. 最后回到菈尼魔法塔，点燃房间内新出现的赐福，与菈尼对话即可完成整个支线。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,如何完成半狼布莱泽支线的最后一步？,完成半狼布莱泽支线最后一步的步骤如下：\n1. 前往拉尼的魔法塔门口，这是触发最终战斗的地点。\n2. 在该位置会遇到发狂状态的半狼布莱泽，他会主动攻击玩家。\n3. 击败发狂的布莱泽即可结束支线。\n4. 战斗胜利后，玩家将获得以下奖励：\n   - 王室大剑（武器）\n   - 布莱泽三件套（包括布莱泽盔甲、布莱泽臂甲、布莱泽腿甲）\n5. 注意：此步骤是支线第5/5部分，需确保之前所有步骤已完成，否则可能无法触发。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,半狼布莱泽支线的最终奖励有哪些？,半狼布莱泽支线最终奖励如下：\n1. 王室大剑：一把大剑类武器，具有独特的战技和属性加成。\n2. 布莱泽三件套，包含：\n   - 布莱泽盔甲（胸甲）\n   - 布莱泽臂甲（手部装备）\n   - 布莱泽腿甲（腿部装备）\n3. 这些奖励在击败发狂的布莱泽后直接掉落，无需额外拾取。\n4. 注意：布莱泽三件套属于重甲系列，提供较高的物理防御和韧性，适合近战流派。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,在哪里可以找到发狂的布莱泽并触发最终战斗？,触发半狼布莱泽最终战斗的位置与条件如下：\n1. 地点：拉尼的魔法塔门口。\n2. 前提：必须先完成半狼布莱泽支线的前4步，包括在盖利德、永恒之城等地的相关事件。\n3. 到达后：布莱泽会处于发狂状态，主动攻击玩家。\n4. 战斗注意事项：\n   - 布莱泽使用大剑和野兽系技能，攻击范围广。\n   - 建议保持中距离，利用翻滚躲避其连击。\n5. 击败后即可获得王室大剑和布莱泽三件套，支线完结。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,获得王室大剑和布莱泽三件套需要完成什么步骤？,要获得王室大剑和布莱泽三件套，需要完成以下步骤：\n1. 推进半狼布莱泽支线至最终阶段，确保已触发拉尼的魔法塔相关剧情。\n2. 传送到拉尼的魔法塔，步行至门口。\n3. 在门口会遇到发狂状态的半狼布莱泽，与其交战。\n4. 击败他后，物品会自动掉落：\n   - 王室大剑：一把力量/灵巧补正的大剑，战技为“狼袭”。\n   - 布莱泽三件套：包括盔甲、臂甲、腿甲，外观为狼形铠甲。\n5. 注意：如果之前未完成布莱泽的其他支线步骤（例如在盖利德首次相遇、在永恒之城协助他等），则无法触发此战斗。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,半狼布莱泽支线完结时的关键地点和敌人是什么？,半狼布莱泽支线完结时的关键信息如下：\n1. 关键地点：拉尼的魔法塔门口（位于三姊妹塔区域，拉尼魔法塔的入口处）。\n2. 关键敌人：发狂的半狼布莱泽。\n   - 外观：身穿布莱泽三件套，手持王室大剑。\n   - 状态：因某种原因陷入疯狂，不再友好。\n3. 战斗后奖励：\n   - 王室大剑\n   - 布莱泽三件套（盔甲、臂甲、腿甲）\n4. 支线至此完结，后续不再有布莱泽的相关事件。\n5. 注意：如果玩家未完成前置步骤，该地点可能不会刷新布莱泽，需检查支线进度。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,塞尔维斯支线后续，我到了塞尔维斯的魔法塔，接下来该怎么做？,1. 前往塞尔维斯魔法塔，在塞尔维斯尸体处进行以下操作：\n   - 拾取塞尔维斯的套装。\n   - 拾取塞尔维斯的铃珠（可用于在圆桌厅堂兑换之前未换完的傀儡）。\n2. 之后前往毕迪所在位置（通常位于通往永恒之城诺克隆恩的升降机旁），此时毕迪已被他的傀儡击杀：\n   - 拾取眠箭骨灰。\n   - 拾取毕迪的铃珠。\n   - 注意：如果你之前将塞尔维斯的药剂给了涅斐丽·露，则在此处还会额外拾取涅斐丽的骨灰。\n3. 完成以上步骤后，塞尔维斯支线即告完结。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,塞尔维斯支线完成后，我能在哪里拿到他的套装和铃珠？还有毕迪那里有什么奖励？,1. 塞尔维斯的套装与铃珠获取：\n   - 地点：塞尔维斯的魔法塔，塞尔维斯尸体上。\n   - 奖励：塞尔维斯的套装（防具）、塞尔维斯的铃珠（交予圆桌厅堂的双指老妪可兑换之前未换完的傀儡骨灰）。\n2. 毕迪处奖励获取：\n   - 前提：塞尔维斯死亡后，毕迪会被他之前操控的傀儡反噬击杀。\n   - 地点：毕迪原本所在位置（通往永恒之城诺克隆恩的升降机附近）。\n   - 奖励：\n     * 眠箭骨灰（毕迪的骨灰）。\n     * 毕迪的铃珠（同样可用于兑换）。\n     * 特殊条件：如果你在支线中使用了塞尔维斯的药剂影响了涅斐丽，则此处还可额外拾取涅斐丽的骨灰。\n3. 支线状态：以上全部完成后，塞尔维斯支线正式完结。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,塞尔维斯支线中，如果我把药剂给了涅斐丽，在毕迪那里能额外拿到什么？,1. 前提条件：在塞尔维斯支线中，你将塞尔维斯的药剂用于涅斐丽·露并将其影响。\n2. 具体操作：完成塞尔维斯死亡后的流程，前往毕迪处时，毕迪已被傀儡击杀。\n3. 获得的物品：在毕迪尸体上，除了常规的眠箭骨灰和毕迪的铃珠外，还会额外拾取涅斐丽·露的骨灰。\n4. 提示：涅斐丽的骨灰是召唤灵魂的一种，可作为战斗辅助。\n5. 注意：若未使用药剂影响涅斐丽，则无法获得该骨灰。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,如何完成伊吉支线的最后一步？,完成伊吉支线最后一步的具体流程如下：\n1. 首先前往“通往城寨的道路”赐福点。\n2. 与铁匠伊吉对话，在对话中选择关于“布莱泽”的选项。\n3. 对话结束后，刷新地图（例如通过传送至其他赐福点再返回）。\n4. 返回后发现伊吉已经与黑刀刺客同归于尽。\n5. 在伊吉身边的锻造台处拾取道具：伊吉的铃和伊吉的镜面具。\n6. 至此伊吉支线正式完结。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,伊吉支线完成后我能获得哪些奖励？,伊吉支线完成后，你可以在“通往城寨的道路”赐福点附近的锻造台处获得以下奖励：\n1. 伊吉的铃：可用于购买伊吉的锻造服务（需在圆桌厅堂交给孪生老妪）。\n2. 伊吉的镜面具：头部防具，具有特殊外观和属性加成。\n请确保在伊吉死亡后及时拾取，否则可能无法再次获取。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,潜藏者结局如何触发？需要什么关键道具？,触发潜藏者结局需要满足以下条件：\n1. 首先必须完成群星结局的前置流程，获得关键道具“卡利亚颠倒像”。\n2. 获得方式：在完成菈妮支线过程中，于卡利亚城寨内找到并拾取“卡利亚颠倒像”。\n3. 拥有“卡利亚颠倒像”后，前往特定地点（通常与永恒之城或地下区域相关）使用该道具，即可解锁潜藏者结局的触发条件。\n4. 注意：潜藏者结局与群星结局为互斥结局，请根据你的游玩规划选择。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,我在伊吉支线最后一步和伊吉对话时，没有关于“布莱泽”的选项怎么办？,如果对话时没有出现关于“布莱泽”的选项，可能是前置步骤未完成。请按以下顺序检查：\n1. 确保你已经完成了布莱泽支线的前置部分，包括在“雾林边缘”与布莱泽初次相遇，并在“永恒之城”区域帮助他对抗祖灵，以及在“月光祭坛”与其对话至“布莱泽发狂”为止。\n2. 确保你已经与伊吉对话过至少一次，且之前未触发过伊吉死亡事件。\n3. 如果你已经推进了菈妮支线到“赐予暗月戒指”的阶段，布莱泽可能会提前发狂，导致选项消失。建议在进入“月光祭坛”之前完成伊吉支线的对话。\n4. 如果仍然无法触发，可能需要重新读取更早的存档。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,伊吉支线和潜藏者结局有什么关联？,伊吉支线和潜藏者结局之间没有直接的任务关联，但存在间接联系：\n1. 伊吉是“碎星”拉塔恩和菈妮的侍从之一，他的支线主要围绕布莱泽和菈妮的命运展开。\n2. 潜藏者结局需要“卡利亚颠倒像”，该道具在完成菈妮支线（群星结局线）时获得。而伊吉支线是菈妮支线的重要组成部分。\n3. 完成伊吉支线（即见证伊吉死亡）并不会影响潜藏者结局的触发，但可以加深对卡利亚王室和永恒之城背景的理解。\n4. 建议先完成菈妮支线获得“卡利亚颠倒像”，再处理伊吉支线的最后对话，以避免因时间线冲突导致无法触发对话选项。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,如何完成死眠少女菲亚的支线任务？请详细说明从祖灵森林开始的所有步骤。,1. 从祖灵森林赐福出发，一路前进到导水桥赐福。\n2. 在导水桥附近遇到D的弟弟，给他孪生套装可获得动作内在律法。\n3. 在前方石像鬼BOSS房门口可召唤D的弟弟助战，击败BOSS获得石像鬼双头剑和石像鬼大剑。\n4. 在BOSS房赐福前乘坐石棺前往深根底层，到达深根底层赐福，旁边与解指老妪对话。\n5. 沿巨型树根往上走到达树根前路赐福，进入菲雅英雄BOSS房，击败BOSS获得菲雅的烟雾。\n6. 与坐着的菲雅对话，选择“我想接受拥抱”，说悄悄话得知需要一半死亡卢恩。\n7. 前往卡利亚书斋，放置卡利亚颠倒像，击杀NPC魔法教授米利安获得魔法镇定。\n8. 跳到中间升降机来到最底层，打开大门点燃赐福（正反面各有一个魔法教授米利安，掉落不同魔法，可通过放置/取下颠倒像切换方向）。\n9. 继续向前击杀神皮贵族，获得神皮四件套，来到卡利亚神赐塔。\n10. 坐电梯到顶层拾取观星少女传说和一半死亡卢恩。\n11. 回到菲雅处要抱抱，选择交出死亡卢恩，获得透光床帘的恩泽。\n12. 刷新地图继续要抱抱并说悄悄话，再次刷新地图后菲雅睡着。\n13. 选择进入死眠梦境，击败BOSS死龙，获得死龙的追忆。\n14. 从菲雅身上拾取死王子修卢恩，刷新地图从菲雅身上拿到菲雅两件套。\n15. 与D的弟弟对话，刷新地图拾取紧密孪生剑和孪生四件套（旁边传送门可直达王城）。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,在死眠少女菲亚支线中，如何获得一半死亡卢恩？,1. 前往卡利亚书斋，放置卡利亚颠倒像。\n2. 击杀NPC魔法教授米利安，获得魔法镇定。\n3. 跳到中间升降机来到最底层，打开大门点燃赐福。\n4. 继续向前击杀神皮贵族，获得神皮四件套。\n5. 来到卡利亚神赐塔，坐电梯到顶层。\n6. 拾取观星少女传说和一半死亡卢恩。\n注意：卡利亚书斋正反面各有一个魔法教授米利安，掉落不同的魔法，可通过放置或取下颠倒像切换方向。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,死眠少女菲亚支线中，如何触发与死龙战斗？,1. 按照支线正常推进，获得一半死亡卢恩后回到菲雅处。\n2. 选择“要抱抱”，然后交出死亡卢恩，获得透光床帘的恩泽。\n3. 刷新地图，再次与菲雅对话并选择说悄悄话。\n4. 再次刷新地图，菲雅会睡着。\n5. 靠近菲雅并选择“进入死眠梦境”。\n6. 在梦境中与BOSS死龙战斗，击败后获得死龙的追忆。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,死眠少女菲亚支线完成后，可以获得哪些重要装备？,支线完成后可获得以下装备：\n- 石像鬼双头剑（击败石像鬼BOSS）\n- 石像鬼大剑（击败石像鬼BOSS）\n- 菲雅的烟雾（击败菲雅英雄）\n- 魔法镇定（击杀卡利亚书斋的魔法教授米利安）\n- 神皮四件套（击杀神皮贵族）\n- 观星少女传说（卡利亚神赐塔顶层）\n- 透光床帘的恩泽（交出死亡卢恩后获得）\n- 死龙的追忆（击败死龙）\n- 死王子修卢恩（从菲雅身上拾取）\n- 菲雅两件套（刷新地图后从菲雅身上拾取）\n- 紧密孪生剑（与D的弟弟对话后刷新地图拾取）\n- 孪生四件套（与D的弟弟对话后刷新地图拾取）
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,梅琳娜在王城区域的支线如何推进？具体有哪些步骤？,1. 前往黄金树小教堂\n   与梅琳娜对话，获得肢体动作“外在律法”。\n2. 前往城外战场遗迹赐福\n   在此处与梅琳娜对话，推进剧情。\n3. 前往王城东边城墙赐福\n   再次与梅琳娜对话，完成王城段对话。\n4. 后续流程：击败噩兆王后，继续推进梅琳娜的后续剧情（文本未提供具体内容，但需要击败噩兆王触发）。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,梅琳娜在王城能获得什么奖励？,1. 在黄金树小教堂与梅琳娜对话后，可获得肢体动作“外在律法”。\n2. 后续两次对话（城外战场遗迹、王城东边城墙）不直接给予道具或奖励，但推进支线剧情。\n3. 完成王城所有对话后，击败噩兆王可解锁后续事件。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,请给出梅琳娜王城支线的详细攻略，包括触发条件和注意事项。,1. 触发条件：\n    - 玩家必须到达王城区域（罗德尔）。\n    - 梅琳娜的支线需要在此之前已经触发（通常从游戏初期开始）。\n    - 击败恶兆王之前即可进行前三步对话。\n2. 详细步骤：\n    - 第一步：前往黄金树小教堂（位于王城外围区域），与梅琳娜对话，获得肢体动作“外在律法”。\n    - 第二步：前往“城外战场遗迹”赐福点，在附近找到梅琳娜并对话。\n    - 第三步：前往“王城东边城墙”赐福点，与梅琳娜对话完成本段。\n3. 注意事项：\n    - 击败噩兆王后，上述对话仍然可以触发（但建议在击败噩兆王前完成）。\n    - 如果错过，可在击败噩兆王后返回相应位置尝试。\n    - 本段支线为梅琳娜整体剧情的一部分，后续需要在巨人山顶、天空城等地继续。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,在艾尔登法环中，解指老妪的第五次见面地点在哪里？和她对话有什么内容？,解指老妪第五次见面位置与互动说明：\n- 位置：城外幻影树赐福点出发，向前方前进即可找到。\n- 互动：与解指老妪对话，触发剧情。\n- 后续：本次对话后，解指老妪的剧情线至此结束，无后续事件或奖励。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,解指老妪在城外幻影树赐福那边还有后续任务吗？,关于解指老妪在城外幻影树赐福的后续情况：\n- 位置：城外幻影树赐福前方。\n- 互动：与解指老妪对话（第五次见面）。\n- 后续：无。本次对话为该NPC互动链条的终点，不再触发任何后续剧情、任务或奖励。
你是一个艾尔登法环攻略助手，请用结构化方式回答。,游戏中煮虾哥在哪里？可以购买什么物品？,煮虾哥的位置及可购买物品如下：\n- 位置：王城外围的湖，具体在王城门口大树守卫位置西边的湖中。\n- 可购买物品：煮熟螃蟹，使用后物理减伤15%。\n- 注意：煮虾哥死亡后，其铃珠中并不会出售煮熟螃蟹，请务必在活着时购买足够数量。
你是一个艾尔登法环攻略助手，请用结构化方式回答。,煮虾哥的对话选项有哪些？与食粪者支线有什么关系？,煮虾哥的对话选项及与食粪者支线的关系：\n1. 对话选项：与煮虾哥对话时，选择“有件事我想和你说一下，关于食粪者”。\n2. 作用：此对话为食粪者支线的后续触发条件之一，通过该对话可以推进食粪者相关的剧情。\n3. 支线后续：完成此对话后，玩家需要继续进行食粪者支线的后续步骤，例如前往王城下水道、寻找食粪者等。\n4. 提示：如果提前杀死煮虾哥，可能错过触发该对话的机会，导致食粪者支线无法正常推进。
你是一个艾尔登法环攻略助手，请用结构化方式回答。,煮熟螃蟹有什么效果？如何获取？,煮熟螃蟹的效果及获取方式：\n- 效果：使用后获得物理减伤15%，持续一段时间，对物理伤害较高的敌人非常实用。\n- 获取方式：在王城外围湖中的煮虾哥处购买，每个需要一定数量的卢恩。\n- 注意事项：煮虾哥死亡后无法再购买，且其铃珠中不包含该物品，因此建议在推图或BOSS战前购买足够数量。
你是一个艾尔登法环攻略助手，请用结构化方式回答。,煮虾哥死后铃珠里还有煮熟螃蟹吗？,煮虾哥死后铃珠情况：\n- 煮虾哥死亡后，将其铃珠交给圆桌厅堂的孪生老妪，老妪的商店中并不会出售煮熟螃蟹。\n- 因此，务必在煮虾哥活着时购买足够的煮熟螃蟹，否则将永久失去该道具的购买途径。\n- 建议在推进王城区域前，先前往湖中与煮虾哥交易，再考虑后续剧情。
你是一个艾尔登法环攻略助手，请用结构化方式回答。,煮虾哥相关支线有哪些？具体步骤是什么？,煮虾哥相关支线主要为食粪者支线的一部分，具体步骤：\n1. 前往王城外围湖中（大树守卫位置西边的湖），找到煮虾哥。\n2. 与煮虾哥对话，选择“有件事我想和你说一下，关于食粪者”，触发相关对话。\n3. 继续推进食粪者支线，例如在王城下水道找到食粪者，击败后获得关键道具等。\n4. 注意：煮虾哥可能会被其他敌人杀死或玩家误杀，导致支线中断。因此建议先完成对话并购买煮熟螃蟹，再处理其他内容。\n5. 完成食粪者支线后，可以获取食粪者的装备、武器以及相关的结局选项。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,如何完成裁缝柏克的支线任务并达成完美结局？,完成裁缝柏克支线并达成完美结局需要遵循以下步骤：\n1. 前置准备：\n   - 前往火山亚人女王前的村子，获取唤声泥颅“你真好看”。\n   - 注意：务必在遇到柏克前获得该道具，否则他会在对话后消失。\n2. 关键对话：\n   - 在王城东边城墙赐福处与柏克对话，选择“你有想过吗，你是如何想的”。\n   - 此时出现两个分支。\n3. 完美结局分支（存活）：\n   - 不要给他泪滴幼体，直接关闭对话。\n   - 使用唤声泥颅“你真好看”，与柏克对话选择“我听到了声音” → “是”。\n   - 柏克会存活，支线完结。\n4. 错误结局分支（死亡）：\n   - 如果给了他泪滴幼体，选择“请您稍等”。\n   - 刷新地图后前往雷亚卢卡尼亚大书库与他对话，再刷新地图，柏克死亡。\n5. 总结：完美结局的关键在于不交出泪滴幼体，并正确使用唤声泥颅。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,裁缝柏克支线任务中，如果给他泪滴幼体会怎样？,如果给柏克泪滴幼体，会导致其死亡结局，具体流程如下：\n1. 在关键对话后选择给他泪滴幼体，并选择“请您稍等”。\n2. 刷新地图（比如通过传送或坐火），前往雷亚卢卡尼亚大书库。\n3. 与出现在那里的柏克对话。\n4. 再次刷新地图，柏克死亡，支线结束。\n注意：该分支无法获得完美结局，且会导致重要NPC消失。建议用泪滴幼体前先确认是否追求完美结局。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,在裁缝柏克支线中，唤声泥颅“你真好看”有什么用？在哪里获得？,唤声泥颅“你真好看”的作用及获得方法：\n1. 作用：\n   - 在柏克任务的关键分支中，如果不给他泪滴幼体，使用该道具可以触发存活结局。\n   - 使用后与柏克对话选择“我听到了声音”和“是”，柏克会留下并存活。\n2. 获得方法：\n   - 前往火山地区的“亚人女王前的村子”（准确位置在火山官邸附近）。\n   - 在村子内一个宝箱或尸体上拾取。\n3. 重要提示：\n   - 必须在第一次遇见柏克之前或至少在他消失前获得。\n   - 如果先遇见柏克而未获取，可能永久错过。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,裁缝柏克支线中，与柏克对话时选择不同的选项会导致什么结果？,柏克支线的对话选项直接影响结局，具体分支如下：\n1. 初始对话：在王城东边城墙赐福处，选择“你有想过吗，你是如何想的”。\n2. 分支一（存活）：\n   - 不要给他泪滴幼体，直接关闭对话。\n   - 使用唤声泥颅“你真好看”，然后对话选择“我听到了声音” → “是”。\n   - 结果：柏克存活，支线完美完结。\n3. 分支二（死亡）：\n   - 给他泪滴幼体，然后选择“请您稍等”。\n   - 刷新地图后去雷亚卢卡尼亚大书库与他对话。\n   - 结果：再次刷新地图后柏克死亡。\n注意：如果给泪滴幼体但没有后续前往大书库对话，可能不会触发死亡？但根据攻略，给泪滴幼体后必须按步骤才会触发死亡，否则可能卡住。建议严格按攻略操作。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,金面具支线第一步，从王城西边城墙怎么走？需要做什么？,1. 从王城西边城墙赐福出发，沿路跑图。\n2. 到达右手边的大树枝处，跳下。\n3. 前往王城下方扇形的建筑物边上。\n4. 与金面具对话。\n5. 与柯林对话，选择“关于金面具”。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,如何获取黄金律法原本和回归性原理祷告？我智力不够怎么办？,1. 前往黄金树大教堂，击败葛浮雷的灵体，获得第四个护符皮袋。\n2. 沿着外面的大树枝往上走，跳到房顶并进入内部。\n3. 沿着里面的树枝继续走，拾取【黄金律法原本】。\n4. 将黄金律法原本交给柯林或结缘教堂的老乌龟（推荐给老乌龟）。\n5. 购买【回归性原理】祷告（需要37智力才能释放）。\n6. 若智力不足，可通过以下装备叠加：\n   - 头罩：海摩辉石头罩+2，亚罗塔斯辉石头罩+2，小恶魔头罩+2，卡勒洛斯辉石头罩+3，奥利威尼斯辉石头罩+3，女王弯月头冠+3，双贤辉石头罩+6。\n   - 护符：玛莉卡的烙印+3，玛莉卡的糜烂烙印+5，观星少女传说+5。\n   - 大卢恩：格瑞克大卢恩+5（需激活）。\n   - 武器：剑骸大剑战技+5（释放战技后短暂提升智力）。\n   - 灵药：智力瘤结晶滴+10（调配后饮用）。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,金面具支线中，如何揭示拉达刚就是玛莉卡？后续怎么办？,1. 从黄金树大教堂赐福出发，从西门出去。\n2. 乘坐升降机下去，右拐，找到达拉冈的雕像。\n3. 在雕像前的官方谏言处，使用【回归性原理】祷告。\n4. 雕像会变成玛莉卡，触发剧情。\n5. 返回柯林和金面具所在位置（王城下方扇形建筑）。\n6. 与金面具对话，告知“拉达刚就是玛莉卡”，获得动作【黄金律法全貌】。\n7. 与柯林对话，选择“关于金面具先生”，可购买新的祷告。\n8. 后续需要前往雪山区域继续支线（文本提示“雪山后续”）。
你是一个专业的艾尔登法环攻略助手，请用结构化方式回答。,火山官邸贝纳尔的支线任务具体步骤是什么？,火山官邸贝纳尔支线任务步骤：\n1. 从王城西边城墙出发，跑到右侧的大树枝，沿路向下走，到达类似大赐福的区域。\n2. 在该区域寻找红色召唤符，入侵并击败白狼战鬼巴格莱姆与离群法师维赫勒。\n3. 胜利后获得战鬼四件套（战鬼头盔、战鬼铠甲、战鬼臂甲、战鬼腿甲）。\n4. 返回火山官邸，与贝纳尔对话，获得魔法“格密尔之怒”。\n5. 后续：击败拉卡德后，可继续推进贝纳尔的相关结局剧情（具体内容需进一步探索）。
